,config,score
191,"[(2, 1, 0), (1, 1, 1, 24), 'ct']",1.1525584830387778
192,"[(1, 0, 0), (1, 0, 1, 24), 'n']",1.1526738653186792
193,"[(2, 0, 0), (0, 1, 2, 24), 'ct']",1.1529149839032344
194,"[(1, 1, 1), (0, 1, 1, 24), 'ct']",1.1535341109640018
195,"[(1, 0, 1), (0, 1, 1, 24), 'ct']",1.153570269145297
196,"[(2, 0, 0), (1, 1, 1, 24), 'c']",1.1535814363060795
197,"[(0, 1, 0), (1, 1, 1, 24), 'ct']",1.1536232928794214
198,"[(2, 0, 2), (2, 1, 2, 24), 'n']",1.153850046965466
199,"[(1, 0, 2), (2, 1, 2, 24), 'n']",1.1540539047418157
200,"[(0, 1, 2), (0, 1, 1, 24), 't']",1.1543935573287163
201,"[(2, 1, 0), (1, 1, 1, 24), 'c']",1.1546374911720558
202,"[(1, 0, 0), (0, 1, 2, 24), 'ct']",1.1549166854803106
203,"[(1, 0, 1), (2, 1, 2, 24), 'n']",1.1553234075811496
204,"[(1, 0, 2), (0, 1, 1, 24), 't']",1.1555379905833636
205,"[(1, 0, 2), (1, 1, 1, 24), 't']",1.1559458693737361
206,"[(0, 1, 2), (0, 1, 1, 24), 'ct']",1.1563257088392902
207,"[(1, 0, 2), (2, 1, 2, 24), 'c']",1.158225569437894
208,"[(2, 1, 0), (0, 1, 1, 24), 'ct']",1.1590168148527529
209,"[(2, 1, 0), (1, 1, 1, 24), 'n']",1.159017749069608
210,"[(1, 1, 0), (1, 1, 1, 24), 't']",1.1591156097561481
211,"[(2, 1, 0), (1, 1, 1, 24), 't']",1.1598419345958124
212,"[(0, 1, 1), (1, 1, 1, 24), 'c']",1.1602374054287963
213,"[(1, 0, 1), (1, 1, 1, 24), 't']",1.161101870076098
214,"[(1, 1, 2), (1, 1, 2, 24), 'c']",1.1612621649987842
215,"[(1, 0, 1), (1, 0, 1, 24), 'n']",1.1617343722583435
216,"[(1, 1, 2), (0, 1, 2, 24), 'c']",1.161794053915737
217,"[(2, 1, 2), (1, 1, 1, 24), 'c']",1.1619477129063416
218,"[(2, 0, 2), (1, 0, 1, 24), 'n']",1.16222688657463
219,"[(1, 0, 2), (2, 0, 2, 24), 'n']",1.1624551276809412
220,"[(0, 1, 1), (2, 1, 2, 24), 'n']",1.1624810140508168
221,"[(0, 1, 1), (1, 1, 1, 24), 'ct']",1.1629252891599777
222,"[(0, 1, 0), (1, 1, 1, 24), 't']",1.1630116394502168
223,"[(2, 0, 0), (2, 1, 2, 24), 'n']",1.1640260355822674
224,"[(2, 0, 0), (1, 0, 1, 24), 'n']",1.1644858701138512
225,"[(0, 1, 2), (2, 1, 2, 24), 't']",1.16533903556506
226,"[(0, 1, 1), (2, 1, 2, 24), 'c']",1.1655372900102738
227,"[(2, 0, 1), (2, 1, 2, 24), 'c']",1.1656862233809637
228,"[(0, 1, 1), (2, 1, 2, 24), 'ct']",1.1661186576990803
229,"[(2, 0, 1), (1, 1, 1, 24), 'c']",1.167063423104776
230,"[(2, 1, 1), (2, 1, 2, 24), 'n']",1.1694275320878251
231,"[(0, 1, 2), (1, 1, 1, 24), 'ct']",1.16978488013292
232,"[(0, 1, 2), (1, 1, 1, 24), 'c']",1.1700831261884117
233,"[(0, 1, 1), (2, 1, 2, 24), 't']",1.1701429085838362
234,"[(2, 1, 0), (2, 1, 2, 24), 'n']",1.170443268858534
235,"[(0, 1, 0), (2, 1, 2, 24), 'n']",1.170558745455453
236,"[(0, 1, 2), (2, 1, 2, 24), 'n']",1.1706511450407568
237,"[(1, 0, 1), (1, 1, 1, 24), 'ct']",1.1708036246228404
238,"[(1, 1, 1), (2, 1, 2, 24), 'ct']",1.1717631408593874
239,"[(1, 1, 0), (2, 1, 2, 24), 'ct']",1.1742665931593403
240,"[(2, 1, 0), (2, 1, 2, 24), 't']",1.1748012992384262
241,"[(1, 1, 2), (2, 1, 2, 24), 'ct']",1.1749448990926066
242,"[(1, 0, 2), (1, 0, 1, 24), 'n']",1.1750005924841354
243,"[(0, 1, 0), (2, 1, 2, 24), 'c']",1.1750351181582428
244,"[(2, 1, 0), (2, 1, 2, 24), 'c']",1.1750625064995337
245,"[(0, 1, 2), (2, 1, 2, 24), 'c']",1.1751839443174938
246,"[(2, 1, 1), (2, 1, 2, 24), 'c']",1.175205817664203
247,"[(1, 0, 1), (2, 1, 2, 24), 'c']",1.1756173389275741
248,"[(2, 0, 2), (0, 1, 2, 24), 'ct']",1.175791315681685
249,"[(1, 1, 2), (0, 1, 1, 24), 'n']",1.1774399492931056
250,"[(1, 1, 1), (2, 1, 2, 24), 't']",1.1779674204898969
251,"[(0, 1, 0), (2, 1, 2, 24), 't']",1.1781339833203914
252,"[(1, 1, 0), (2, 1, 2, 24), 't']",1.178291584714615
253,"[(2, 1, 1), (2, 1, 2, 24), 't']",1.178298479420243
254,"[(1, 0, 0), (2, 0, 2, 24), 'n']",1.1796821774059985
255,"[(1, 0, 2), (2, 1, 2, 24), 't']",1.1805010693162494
256,"[(2, 0, 0), (2, 1, 2, 24), 'c']",1.1810813362710142
257,"[(1, 0, 2), (2, 1, 2, 24), 'ct']",1.183603938543774
258,"[(2, 0, 2), (2, 1, 2, 24), 'c']",1.1849622209123956
259,"[(2, 1, 0), (2, 1, 2, 24), 'ct']",1.185245862455317
260,"[(1, 0, 2), (0, 1, 1, 24), 'ct']",1.185607481566305
261,"[(2, 1, 1), (2, 1, 2, 24), 'ct']",1.186164836708692
262,"[(0, 1, 0), (2, 1, 2, 24), 'ct']",1.1866826194000517
263,"[(2, 0, 0), (1, 1, 1, 24), 'ct']",1.187159093320864
264,"[(2, 0, 0), (2, 1, 2, 24), 't']",1.1871855534897096
265,"[(1, 1, 2), (1, 1, 1, 24), 'n']",1.1882505734042186
266,"[(0, 1, 2), (2, 1, 2, 24), 'ct']",1.188789412161075
267,"[(1, 0, 0), (2, 1, 2, 24), 'n']",1.1905109283402349
268,"[(1, 1, 1), (2, 1, 2, 24), 'n']",1.1934618789636096
269,"[(1, 0, 1), (2, 1, 2, 24), 'ct']",1.1946240731361837
270,"[(1, 1, 2), (2, 1, 2, 24), 't']",1.195699596744218
271,"[(1, 0, 2), (1, 1, 1, 24), 'ct']",1.1958945907128422
272,"[(2, 1, 2), (2, 1, 2, 24), 'n']",1.1964332320364368
273,"[(1, 1, 2), (1, 1, 1, 24), 'ct']",1.1973969262044135
274,"[(2, 0, 2), (1, 1, 1, 24), 't']",1.198200853590031
275,"[(1, 1, 2), (2, 1, 2, 24), 'n']",1.1987450552728143
276,"[(1, 1, 2), (1, 1, 1, 24), 'c']",1.198823518211064
277,"[(1, 1, 2), (1, 1, 1, 24), 't']",1.1997369483641513
278,"[(2, 0, 2), (2, 1, 2, 24), 'ct']",1.2000000762341594
279,"[(2, 0, 1), (2, 1, 2, 24), 'ct']",1.2012143690132138
280,"[(1, 0, 1), (2, 1, 2, 24), 't']",1.201391569876715
281,"[(1, 0, 0), (2, 1, 2, 24), 'c']",1.2074088470348763
282,"[(2, 0, 2), (0, 1, 1, 24), 'ct']",1.2077223740453134
283,"[(2, 0, 1), (2, 1, 1, 24), 'n']",1.2097118023860212
284,"[(2, 0, 0), (2, 1, 2, 24), 'ct']",1.2097975856122287
285,"[(1, 1, 2), (0, 1, 1, 24), 't']",1.212991382656829
286,"[(2, 0, 0), (2, 1, 1, 24), 'n']",1.2149347093466816
287,"[(1, 0, 0), (2, 1, 1, 24), 'n']",1.2154147693892938
288,"[(2, 0, 2), (2, 1, 1, 24), 'n']",1.2161185939330712
289,"[(1, 0, 2), (2, 1, 1, 24), 'n']",1.2164183881042399
290,"[(1, 0, 1), (2, 1, 1, 24), 'n']",1.2167945188127738
291,"[(2, 0, 2), (2, 1, 2, 24), 't']",1.2168979840321916
292,"[(2, 0, 1), (2, 1, 2, 24), 't']",1.2198609528660933
293,"[(1, 1, 1), (2, 1, 2, 24), 'c']",1.2203229248053895
294,"[(1, 0, 0), (2, 1, 2, 24), 't']",1.222102388374275
295,"[(1, 0, 0), (2, 1, 2, 24), 'ct']",1.2228224174631988
296,"[(2, 1, 2), (2, 1, 2, 24), 'c']",1.2242744970282133
297,"[(2, 0, 2), (0, 1, 1, 24), 't']",1.2269466650006542
298,"[(1, 0, 0), (2, 1, 1, 24), 'c']",1.2281515753111656
299,"[(2, 0, 1), (2, 1, 1, 24), 'c']",1.2285604255037659
300,"[(2, 0, 2), (0, 0, 1, 24), 'c']",1.2290293810206543
301,"[(2, 0, 0), (2, 1, 1, 24), 'c']",1.2292931564415475
302,"[(1, 1, 2), (0, 1, 1, 24), 'ct']",1.229542556732078
303,"[(1, 1, 2), (2, 1, 2, 24), 'c']",1.229882215187474
304,"[(1, 0, 1), (2, 1, 1, 24), 'c']",1.230000673511473
305,"[(1, 0, 2), (2, 1, 1, 24), 'c']",1.2302203601148514
306,"[(2, 0, 2), (2, 1, 1, 24), 'c']",1.233810269135189
307,"[(1, 1, 2), (0, 1, 1, 24), 'c']",1.2361560117971526
308,"[(1, 0, 0), (2, 1, 1, 24), 'ct']",1.2384126059526988
309,"[(1, 1, 1), (2, 1, 1, 24), 't']",1.2404465177492439
310,"[(0, 1, 1), (2, 1, 1, 24), 'n']",1.2407066579685686
311,"[(2, 1, 0), (2, 1, 1, 24), 'n']",1.2420446536726957
312,"[(1, 0, 2), (2, 1, 1, 24), 't']",1.2428086012978883
313,"[(0, 1, 2), (2, 1, 1, 24), 'n']",1.244326365400116
314,"[(2, 0, 2), (1, 1, 1, 24), 'ct']",1.2449358781398614
315,"[(1, 1, 0), (2, 1, 1, 24), 'n']",1.2452468247964872
316,"[(0, 1, 1), (2, 1, 1, 24), 'c']",1.24576184551216
317,"[(1, 1, 2), (2, 1, 1, 24), 't']",1.246606615850149
318,"[(2, 1, 0), (2, 1, 1, 24), 'c']",1.2466306529902436
319,"[(2, 1, 1), (2, 1, 1, 24), 't']",1.2483661369366879
320,"[(1, 0, 1), (2, 1, 1, 24), 't']",1.248614886195505
321,"[(1, 1, 0), (2, 1, 1, 24), 'c']",1.2494121412360821
322,"[(0, 1, 2), (2, 1, 1, 24), 'c']",1.2494285411777144
323,"[(1, 0, 0), (2, 1, 1, 24), 't']",1.2496363196724585
324,"[(2, 1, 1), (2, 1, 1, 24), 'n']",1.2505716306620367
325,"[(0, 1, 1), (2, 1, 1, 24), 'ct']",1.2512776513934243
326,"[(0, 1, 0), (2, 1, 1, 24), 'n']",1.2515143741154338
327,"[(0, 1, 1), (2, 1, 1, 24), 't']",1.2519140381288094
328,"[(2, 1, 0), (2, 1, 1, 24), 't']",1.2519634180662418
329,"[(2, 0, 1), (2, 1, 1, 24), 'ct']",1.2526448956325689
330,"[(1, 0, 2), (2, 1, 1, 24), 'ct']",1.2529638120602953
331,"[(2, 1, 1), (2, 1, 1, 24), 'ct']",1.2532265802193865
332,"[(1, 1, 0), (2, 1, 1, 24), 't']",1.253432683797414
333,"[(1, 0, 1), (2, 1, 1, 24), 'ct']",1.2537764851941577
334,"[(1, 1, 2), (2, 1, 1, 24), 'ct']",1.2541077499840805
335,"[(0, 1, 0), (2, 1, 1, 24), 'c']",1.2568176090208305
336,"[(1, 1, 1), (2, 1, 1, 24), 'n']",1.2581304928073054
337,"[(2, 1, 1), (2, 1, 1, 24), 'c']",1.2584814806787379
338,"[(2, 1, 0), (2, 1, 1, 24), 'ct']",1.2586663212036344
339,"[(1, 1, 0), (2, 1, 1, 24), 'ct']",1.2610284343924523
340,"[(0, 1, 0), (2, 1, 1, 24), 't']",1.2611936498964793
341,"[(0, 1, 0), (2, 1, 1, 24), 'ct']",1.261673702837123
342,"[(2, 0, 0), (2, 0, 2, 24), 'n']",1.2624955217574894
343,"[(0, 1, 2), (2, 1, 1, 24), 'ct']",1.2638006011468985
344,"[(0, 1, 2), (2, 1, 1, 24), 't']",1.2641826848602573
345,"[(1, 0, 1), (2, 0, 2, 24), 'n']",1.2650601134821948
346,"[(1, 1, 2), (2, 1, 1, 24), 'n']",1.2656364649004166
347,"[(1, 1, 1), (2, 1, 1, 24), 'ct']",1.2663415149397588
348,"[(2, 1, 2), (2, 1, 1, 24), 'n']",1.2671996348560548
349,"[(2, 0, 0), (2, 1, 1, 24), 't']",1.2689809793452624
350,"[(2, 0, 0), (2, 1, 1, 24), 'ct']",1.2703311755329785
351,"[(2, 0, 2), (0, 0, 0, 24), 'c']",1.270957759919431
352,"[(1, 1, 1), (2, 1, 1, 24), 'c']",1.273942084026944
353,"[(1, 0, 0), (1, 0, 2, 24), 'n']",1.2747541184625024
354,"[(2, 1, 2), (2, 1, 1, 24), 'c']",1.2761751565603996
355,"[(0, 1, 1), (2, 0, 2, 24), 't']",1.2789111819523844
356,"[(2, 0, 1), (2, 0, 2, 24), 'n']",1.2794920341736002
