,station,total,id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,milesfromstat
320,KFPK0,1230,KFPK0,Charlotte / Meadows Mobile Home Park,US,MI,,KFPK,42.5745,-84.8114,272.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,59.678156335490975
335,KGPZ0,1228,KGPZ0,Grand Rapids / Country Acres Mobile Home Park,US,MN,,KGPZ,47.2093,-93.5099,413.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,590.5973201292599
365,KIKW0,1225,KIKW0,Midland / Alpine Mobile Home Village,US,MI,,KIKW,43.6629,-84.2613,194.0,America/Detroit,2009-04-06,2022-09-22,2009-04-07,2022-04-24,2009-01-01,2022-01-01,102.77761082897744
321,KFRM0,1221,KFRM0,Fairmont / Fairmont Estates,US,MN,,KFRM,43.6439,-94.4156,354.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,549.611531330904
350,KHPT0,1217,KHPT0,Hampton,US,IA,,KHPT,42.7237,-93.2263,358.0,America/Chicago,2020-01-14,2022-09-22,2020-01-14,2022-04-24,2020-01-01,2021-01-01,485.4168257095812
59,71660,1206,71660,Timmins / Strickland,CA,ON,,CXTI,49.2815,-81.7941,244.0,America/Nipigon,2014-04-04,2022-08-25,2017-03-10,2022-04-15,2017-01-01,2021-01-01,496.4815795992823
87,72516,1198,72516,Bennington / Napoleon,US,VT,72516.0,K5B5,46.4944,-99.7601,604.0,America/New_York,,,2006-06-03,2022-09-14,2006-01-01,2021-01-01,844.4960257193547
56,71637,1187,71637,Dryden,CA,ON,,CXDR,49.8583,-92.7971,410.0,America/Rainy_River,2014-04-04,2022-08-25,,,,,682.8168388331228
349,KHNR0,1181,KHNR0,Harlan / Corley,US,IA,,KHNR,41.5844,-95.3397,375.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2012-01-01,2022-01-01,598.9332217273785
327,KGFK0,1168,KGFK0,Grand Forks / Powell,US,ND,,KGFK,47.9473,-97.1738,257.0,America/Chicago,2010-08-01,2022-09-22,2010-08-01,2022-04-24,2010-01-01,2022-01-01,765.0853293979702
328,KGGI0,1164,KGGI0,Grinnel / Westfield,US,IA,,KGGI,41.7099,-92.736,307.0,America/Chicago,2006-08-31,2022-09-22,2006-09-03,2022-04-24,2011-01-01,2022-01-01,464.2132226404414
373,KJKJ0,1161,KJKJ0,Moorhead / Park Lane Mobile Home Park,US,MN,,KJKJ,46.8393,-96.664,280.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,712.0405789291231
372,KIWD0,1148,KIWD0,Ironwood / Hautala Corner,US,MI,,KIWD,46.5275,-90.1314,375.0,America/Menominee,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2008-01-01,2022-01-01,433.716307628978
369,KIRS0,1147,KIRS0,Sturgis,US,MI,,KIRS,41.8133,-85.4389,282.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,91.61881348512748
